text,label,train or test,rater 1 label,rater 2 label,test rater label
A central message emerging from our analysis is that a leader's ability to communicate clearly to the masses is relatively more important than her ability to discover the best course of action for them.,5,test,5,5,5
"A commonly accepted view is that if negative GDP growth continues two consecutive quarters or a decline of GDP by 2 percent, economists start to think a recession is imminent.",6,test,6,6,5
A contract or agreement may require a municipality to undertake obligations and duties to be performed subsequent to the expiration of the term of office of the elected governing body.,6,train,6,6,
a good beer I guess,2.5,train,3,2,
"A hierarchical regression model analyzing the effect of English language proficiency on the respondents' fears of deportation showed a small, statistically significant negative association between the two variables.",6,test,6,6,5
A loss of balance and dizziness.,4,train,4.5,3,
A lot of homework,1,train,2.5,1,
A real glutton for punishment.,5,test,6,6,6
"Access to a great community, with a massive database of many, many areas of interest.",4.25,test,4,4.5,4
advice,2,train,4,3.5,
age,1,train,1,1,
"Aggressive, but considerate of other drivers.",4.5,train,4,5,
"Ah, here she is. Here's my good friend Ms Martha. She is the best fashion designer around, and she also has a good nose for finding lost things.",4.5,test,4,5,6
All pets are inside the house.,2.25,test,2.5,2,2
"Almond milk will be a bit sweeter than regular milk, would you like less sugar or more sugar than you might with regular milk?",5,train,5,5,
almost,2,train,2,2,
"Alright, now you are going to have to lay down on the table and then I'll cover you up with this blanket so you don't get cold. Are you ready?",4.25,test,4.5,4,3
"Alright, please wait outside. It'll be about five minutes until your table is ready. Will you be seated outside or inside?",3,test,2.5,3.5,3.5
"Alright. So, how's the project going?",2.375,test,1,2,4
"And are you interested in a particular type of cuisine or a special meal, like vegan or gluten free?",5,train,5,5,
And don't forget to leave a good review on Google Maps if you like our service!,3.5,test,2,3,2.5
"And Fang Zhuang said that China sought to find a solution to Islamic extremism, which is a problem that Europe had been striving to eradicate.",6,test,4,5,5
antidisestablishmentarianism,6,train,6,6,
Any recipe using avocados is a favorite of mine!,3.5,train,2,3,
Are you a dentist?,1.5,train,2,1,
Are you coming to the lake with us?,2.75,test,2.5,3,2
Are you fully aware of the problem?,3.75,train,3.5,4,
"Are you interested in any other types of art besides video games, like painting, drawing, music, etc?",4,train,4,4,
Are you married? Are you a father or mother?,2,train,2,2,
As far beyond our solar system as we possibly can.,4.75,test,4.5,5,4
Ask me!,2,train,2,2,
Asparagus is the worst.,2.75,train,3,2.5,
